methods,count,module,date_added
.remove_unused_levels,2,pandas,2020-09-03 22:46:09.138425+00:00
.swaplevel,2,pandas,2020-09-03 22:46:09.138425+00:00
.is_,2,pandas,2020-09-03 22:46:09.138425+00:00
.fromordinal,2,pandas,2020-09-03 22:46:09.138425+00:00
.str.count,2,pandas,2020-09-03 22:46:09.138425+00:00
.str.endswith,2,pandas,2020-09-03 22:46:09.138425+00:00
.iteritems,2,pandas,2020-09-03 22:46:09.138425+00:00
.read_parquet,2,pandas,2020-09-03 22:46:09.138425+00:00
.prod,2,pandas,2020-09-03 22:46:09.138425+00:00
.dt.second,2,pandas,2020-09-03 22:46:09.138425+00:00
.xs,2,pandas,2020-09-03 22:46:09.138425+00:00
.str.title,2,pandas,2020-09-03 22:46:09.138425+00:00
.delete,2,pandas,2020-09-03 22:46:09.138425+00:00
.infer_objects,2,pandas,2020-09-03 22:46:09.138425+00:00
.read_clipboard,1,pandas,2020-09-03 22:46:09.138425+00:00
.astimezone,1,pandas,2020-09-03 22:46:09.138425+00:00
.median,1,pandas,2020-09-03 22:46:09.138425+00:00
.tseries.offsets.MonthEnd,1,pandas,2020-09-03 22:46:09.138425+00:00
.Rang,1,pandas,2020-09-03 22:46:09.138425+00:00
.tseries.offsets.Easter,1,pandas,2020-09-03 22:46:09.138425+00:00
.read_sql_table,1,pandas,2020-09-03 22:46:09.138425+00:00
.read_stata,1,pandas,2020-09-03 22:46:09.138425+00:00
.option_context,1,pandas,2020-09-03 22:46:09.138425+00:00
.nsmallest,1,pandas,2020-09-03 22:46:09.138425+00:00
.take,1,pandas,2020-09-03 22:46:09.138425+00:00
.indices,1,pandas,2020-09-03 22:46:09.138425+00:00
.expanding,1,pandas,2020-09-03 22:46:09.138425+00:00
.cummax,1,pandas,2020-09-03 22:46:09.138425+00:00
.dt date,1,pandas,2020-09-03 22:46:09.138425+00:00
.dt.quarter,1,pandas,2020-09-03 22:46:09.138425+00:00
.to_latex,1,pandas,2020-09-03 22:46:09.138425+00:00
.to_parquet,1,pandas,2020-09-03 22:46:09.138425+00:00
.convert_dtypes,1,pandas,2020-09-03 22:46:09.138425+00:00
.str.isdigit,1,pandas,2020-09-03 22:46:09.138425+00:00
.compare,1,pandas,2020-09-03 22:46:09.138425+00:00
.sem,1,pandas,2020-09-03 22:46:09.138425+00:00
.str.isalpha,1,pandas,2020-09-03 22:46:09.138425+00:00
.str.isalnum,1,pandas,2020-09-03 22:46:09.138425+00:00
.ceil,1,pandas,2020-09-03 22:46:09.138425+00:00
.str.capitalize,1,pandas,2020-09-03 22:46:09.138425+00:00
.from_frame,1,pandas,2020-09-03 22:46:09.138425+00:00
.to_timestamp,1,pandas,2020-09-03 22:46:09.138425+00:00
.set_names,1,pandas,2020-09-03 22:46:09.138425+00:00
.normalize,1,pandas,2020-09-03 22:46:09.138425+00:00
