methods,count,module,date_added
.option_context,1,pandas,2020-09-03 22:45:36.104841+00:00
.ohlc,1,pandas,2020-09-03 22:45:36.104841+00:00
.memory_usage,1,pandas,2020-09-03 22:45:36.104841+00:00
.nth,1,pandas,2020-09-03 22:45:36.104841+00:00
.normalize,1,pandas,2020-09-03 22:45:36.104841+00:00
.set_levels,1,pandas,2020-09-03 22:45:36.104841+00:00
.fromordinal,1,pandas,2020-09-03 22:45:36.104841+00:00
.from_frame,1,pandas,2020-09-03 22:45:36.104841+00:00
.dt.to_period,1,pandas,2020-09-03 22:45:36.104841+00:00
.convert_dtypes,1,pandas,2020-09-03 22:45:36.104841+00:00
.cummax,1,pandas,2020-09-03 22:45:36.104841+00:00
.cummin,1,pandas,2020-09-03 22:45:36.104841+00:00
.to_flat_index,1,pandas,2020-09-03 22:45:36.104841+00:00
.swaplevel,1,pandas,2020-09-03 22:45:36.104841+00:00
.str.zfill,1,pandas,2020-09-03 22:45:36.104841+00:00
.str.cat,1,pandas,2020-09-03 22:45:36.104841+00:00
.snap,1,pandas,2020-09-03 22:45:36.104841+00:00
.expanding,1,pandas,2020-09-03 22:45:36.104841+00:00
.sparse.to_coo,1,pandas,2020-09-03 22:45:36.104841+00:00
.sparse.from_spmatrix,1,pandas,2020-09-03 22:45:36.104841+00:00
.sparse.density,1,pandas,2020-09-03 22:45:36.104841+00:00
.fold,1,pandas,2020-09-03 22:45:36.104841+00:00
.from_breaks,1,pandas,2020-09-03 22:45:36.104841+00:00
.Categorical,1,pandas,2020-09-03 22:45:36.104841+00:00
